loan_limit,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,submission_of_application,LTV,Region,Security_Type,dtir1,_reference_pd
ncf,nopre,type2,p1,l1,nopc,b/c,116500,360.0,not_neg,not_int,not_lpsm,128000.0,sb,pr,home,1U,1740.0,CRIF,517,CIB,to_inst,91.015625,North-East,direct,51.0,0.4184100329875946
cf,nopre,type1,p3,l1,nopc,nob/c,216500,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,3000.0,CRIF,792,CIB,to_inst,60.47486034,south,direct,40.0,0.10782501846551895
cf,nopre,type1,p4,l1,nopc,nob/c,356500,324.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,4020.0,CIB,625,EXP,to_inst,50.35310734,south,direct,36.0,0.0861159935593605
ncf,nopre,type3,p1,l1,nopc,nob/c,506500,360.0,not_neg,not_int,not_lpsm,518000.0,sb,pr,home,1U,12960.0,CRIF,642,EXP,to_inst,97.77992278,central,direct,41.0,0.14369073510169983
cf,nopre,type1,p4,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,9000.0,CRIF,572,EXP,not_inst,91.66666667,south,direct,28.0,0.0363101065158844
cf,nopre,type1,p4,l1,nopc,nob/c,276500,180.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,5160.0,CIB,737,CIB,not_inst,39.05367232,south,direct,40.0,0.05779334530234337
cf,nopre,type1,p1,l1,nopc,nob/c,386500,180.0,not_neg,not_int,not_lpsm,618000.0,sb,sr,home,1U,22140.0,CRIF,544,EXP,not_inst,62.54045307,south,direct,34.0,0.03455149382352829
cf,pre,type1,p1,l1,nopc,nob/c,316500,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,5880.0,CIB,549,EXP,to_inst,88.40782123,North,direct,36.0,0.04065827652812004
cf,nopre,type1,p3,l1,nopc,nob/c,206500,240.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,6360.0,CRIF,548,CIB,to_inst,80.03875969,south,direct,33.0,0.10782501846551895
ncf,nopre,type1,p1,l1,nopc,nob/c,476500,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,5460.0,CIB,810,EXP,not_inst,90.24621212,central,direct,46.0,0.10782501846551895
cf,pre,type2,p1,l1,nopc,b/c,296500,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,5760.0,CIB,554,CIB,not_inst,96.26623377,North,direct,34.0,0.10782501846551895
cf,nopre,type1,p4,l1,nopc,nob/c,276500,360.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,7440.0,EXP,584,CIB,not_inst,81.80473373,North,direct,12.0,0.11089865863323212
cf,nopre,type1,p1,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,3480.0,CRIF,872,EXP,not_inst,95.86330935,central,direct,44.0,0.10782501846551895
cf,nopre,type1,p1,l1,nopc,nob/c,296500,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,6420.0,EXP,614,EXP,not_inst,99.4966443,North,direct,29.0,0.11276596039533615
cf,pre,type1,p3,l1,nopc,nob/c,76500,360.0,not_neg,not_int,not_lpsm,108000.0,sb,pr,home,1U,1800.0,EXP,890,CIB,to_inst,70.83333333,south,direct,20.0,0.3415384590625763
cf,pre,type2,p1,l1,nopc,b/c,146500,360.0,not_neg,not_int,not_lpsm,168000.0,sb,pr,home,1U,3660.0,EXP,757,EXP,to_inst,87.20238095,south,direct,41.0,0.10144927352666855
cf,nopre,type1,p4,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1U,8460.0,CRIF,697,CIB,to_inst,94.1576087,south,direct,30.0,0.19203747808933258
cf,pre,type2,p3,l1,nopc,b/c,196500,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,3060.0,CIB,620,EXP,to_inst,79.23387097,south,direct,34.0,0.14369073510169983
cf,nopre,type1,p1,l1,nopc,nob/c,466500,360.0,not_neg,not_int,not_lpsm,588000.0,sb,pr,home,1U,10500.0,CIB,855,CIB,not_inst,79.33673469,North,direct,30.0,0.03435804694890976
cf,pre,type1,p4,l1,nopc,nob/c,376500,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,8760.0,EXP,647,EXP,to_inst,67.47311828,south,direct,30.0,0.0363101065158844
cf,nopre,type1,p3,l1,nopc,nob/c,206500,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,3540.0,CRIF,500,CIB,to_inst,59.33908046,south,direct,36.0,0.06420404464006424
cf,nopre,type1,p3,l1,nopc,nob/c,246500,360.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,6180.0,CIB,671,CIB,to_inst,72.92899408,south,direct,40.0,0.06766917556524277
cf,nopre,type1,p4,l1,nopc,nob/c,416500,360.0,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1U,6600.0,CRIF,825,CIB,not_inst,85.34836066,North,direct,44.0,0.04065827652812004
cf,nopre,type1,p4,l1,nopc,nob/c,176500,324.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,1980.0,CIB,781,CIB,to_inst,52.21893491,North,direct,47.0,0.11089865863323212
cf,nopre,type2,p3,l2,nopc,b/c,36500,180.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,840.0,CRIF,607,CIB,to_inst,14.14728682,North,direct,40.0,0.3415384590625763
cf,nopre,type1,p1,l1,nopc,nob/c,206500,360.0,not_neg,not_int,not_lpsm,528000.0,sb,sr,home,1U,18000.0,CRIF,651,CIB,to_inst,39.10984848,North,direct,31.0,0.06766917556524277
cf,nopre,type1,p3,l1,nopc,nob/c,266500,180.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,12900.0,CIB,767,EXP,to_inst,50.47348485,North,direct,6.0,0.0363101065158844
cf,nopre,type1,p3,l1,nopc,nob/c,336500,360.0,not_neg,not_int,not_lpsm,1288000.0,sb,pr,home,1U,3900.0,EXP,881,CIB,to_inst,26.1257764,south,direct,30.0,0.11276596039533615
cf,nopre,type1,p4,l1,nopc,nob/c,186500,240.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,4920.0,EXP,809,CIB,to_inst,85.55045872,North,direct,43.0,0.11089865863323212
cf,nopre,type3,p3,l1,nopc,nob/c,206500,360.0,not_neg,int_only,not_lpsm,258000.0,sb,pr,home,1U,2520.0,CIB,586,CIB,to_inst,80.03875969,south,direct,43.0,0.14369073510169983
cf,nopre,type1,p3,l1,nopc,nob/c,546500,360.0,neg_amm,not_int,not_lpsm,678000.0,sb,pr,home,1U,8040.0,CRIF,700,EXP,not_inst,80.60471976,North,direct,42.0,0.10782501846551895
cf,nopre,type1,p4,l1,nopc,nob/c,536500,324.0,neg_amm,not_int,not_lpsm,738000.0,sb,pr,home,1U,10140.0,CIB,674,CIB,not_inst,72.69647696,south,direct,21.0,0.06420404464006424
cf,nopre,type1,p4,l1,nopc,nob/c,386500,360.0,not_neg,not_int,not_lpsm,508000.0,sb,pr,home,1U,6540.0,CRIF,589,EXP,to_inst,76.08267717,south,direct,20.0,0.10782501846551895
cf,pre,type2,p1,l1,nopc,b/c,216500,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,6540.0,EXP,597,CIB,to_inst,87.2983871,south,direct,55.0,0.06766917556524277
cf,nopre,type1,p3,l1,nopc,nob/c,626500,360.0,not_neg,not_int,not_lpsm,948000.0,sb,pr,home,1U,10620.0,CIB,515,EXP,not_inst,66.08649789,North,direct,34.0,0.02772643230855465
cf,nopre,type1,p4,l1,nopc,nob/c,546500,360.0,not_neg,not_int,not_lpsm,2128000.0,sb,pr,home,1U,8040.0,CRIF,589,CIB,not_inst,25.68139098,North,direct,37.0,0.0363101065158844
cf,nopre,type3,p3,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,4800.0,CIB,884,EXP,to_inst,99.56896552,south,direct,53.0,0.10782501846551895
cf,nopre,type1,p3,l1,nopc,nob/c,536500,360.0,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,1U,12120.0,CIB,744,EXP,not_inst,73.69505495,North,direct,43.0,0.03435804694890976
cf,pre,type1,p1,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,5580.0,CRIF,626,CIB,to_inst,95.86330935,North,direct,34.0,0.05779334530234337
cf,nopre,type3,p1,l1,nopc,nob/c,366500,360.0,not_neg,int_only,not_lpsm,368000.0,sb,pr,home,1U,8400.0,EXP,660,EXP,not_inst,99.5923913,North,direct,53.0,0.04065827652812004
cf,nopre,type1,p3,l1,nopc,nob/c,286500,360.0,not_neg,not_int,lpsm,588000.0,sb,pr,home,1U,2760.0,CRIF,702,CIB,to_inst,48.7244898,south,direct,48.0,0.6666666865348816
cf,nopre,type1,p4,l1,nopc,nob/c,366500,360.0,not_neg,int_only,not_lpsm,408000.0,sb,pr,home,1U,4920.0,EXP,737,EXP,to_inst,89.82843137,central,direct,44.0,0.3415384590625763
cf,nopre,type1,p4,l1,nopc,nob/c,396500,360.0,not_neg,not_int,not_lpsm,538000.0,sb,pr,home,1U,5280.0,CIB,684,EXP,not_inst,73.69888476,North,direct,36.0,0.02772643230855465
cf,nopre,type1,p4,l1,nopc,nob/c,456500,360.0,not_neg,not_int,lpsm,538000.0,sb,pr,home,1U,9480.0,EXP,839,EXP,not_inst,84.85130112,North,direct,27.0,0.19203747808933258
cf,nopre,type1,p3,l1,nopc,nob/c,436500,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,7200.0,EXP,661,CIB,to_inst,61.65254237,North,direct,39.0,0.06420404464006424
cf,nopre,type1,p3,l1,nopc,nob/c,186500,360.0,not_neg,not_int,not_lpsm,268000.0,sb,ir,home,1U,5400.0,CRIF,584,EXP,to_inst,69.58955224,North,direct,49.0,0.11276596039533615
cf,nopre,type3,p1,l1,nopc,nob/c,186500,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,3960.0,CIB,583,EXP,to_inst,94.19191919,North,direct,50.0,0.11089865863323212
cf,nopre,type1,p1,l1,nopc,nob/c,316500,360.0,not_neg,not_int,not_lpsm,398000.0,sb,pr,home,1U,4500.0,CIB,693,CIB,not_inst,79.52261307,North,direct,49.0,0.04065827652812004
cf,nopre,type1,p3,l1,nopc,nob/c,156500,360.0,neg_amm,not_int,not_lpsm,208000.0,sb,pr,home,1U,0.0,EXP,639,CIB,to_inst,75.24038462,North,direct,20.0,0.9869565367698669
ncf,nopre,type1,p4,l1,nopc,nob/c,806500,360.0,not_neg,not_int,not_lpsm,1728000.0,sb,pr,home,1U,13980.0,CIB,744,CIB,to_inst,46.6724537,south,direct,43.0,0.5
cf,nopre,type1,p3,l1,nopc,nob/c,656500,360.0,not_neg,not_int,not_lpsm,1158000.0,sb,pr,home,1U,11280.0,EXP,800,EXP,not_inst,56.6925734,central,direct,44.0,0.0363101065158844
cf,pre,type1,p1,l1,nopc,nob/c,106500,360.0,neg_amm,not_int,not_lpsm,148000.0,sb,pr,home,1U,1920.0,CRIF,512,CIB,to_inst,71.95945946,North,direct,37.0,0.06766917556524277
cf,nopre,type1,p2,l1,nopc,nob/c,196500,360.0,not_neg,int_only,not_lpsm,358000.0,sb,pr,home,1U,4740.0,CRIF,515,EXP,to_inst,54.88826816,south,direct,34.0,0.14369073510169983
cf,nopre,type1,p4,l1,nopc,nob/c,386500,360.0,neg_amm,not_int,not_lpsm,578000.0,sb,pr,home,2U,13080.0,CIB,537,EXP,not_inst,66.86851211,south,direct,34.0,0.1839258074760437
cf,pre,type1,p4,l1,nopc,nob/c,406500,360.0,not_neg,not_int,not_lpsm,648000.0,sb,pr,home,1U,9540.0,CRIF,582,EXP,not_inst,62.73148148,south,direct,39.0,0.03435804694890976
cf,nopre,type1,p3,l1,nopc,nob/c,76500,360.0,not_neg,not_int,not_lpsm,188000.0,sb,pr,home,1U,1320.0,CRIF,760,EXP,to_inst,40.69148936,south,direct,44.0,0.14369073510169983
cf,pre,type1,p1,l1,nopc,nob/c,376500,360.0,not_neg,not_int,not_lpsm,568000.0,sb,pr,home,1U,4500.0,CIB,648,EXP,not_inst,66.28521127,North,direct,43.0,0.03455149382352829
ncf,nopre,type2,p4,l1,nopc,b/c,736500,360.0,not_neg,not_int,not_lpsm,848000.0,sb,pr,home,1U,7800.0,EXP,758,CIB,not_inst,86.85141509,North,direct,51.0,0.24460431933403015
cf,pre,type1,p1,l1,nopc,nob/c,276500,360.0,not_neg,not_int,not_lpsm,398000.0,sb,ir,home,1U,9720.0,EXP,747,EXP,not_inst,69.47236181,south,direct,37.0,0.04065827652812004
cf,nopre,type1,p4,l1,nopc,nob/c,226500,360.0,not_neg,int_only,not_lpsm,238000.0,sb,pr,home,1U,4020.0,CIB,829,CIB,to_inst,95.16806723,North,direct,25.0,0.4184100329875946
cf,nopre,type1,p4,l1,nopc,nob/c,526500,360.0,not_neg,not_int,not_lpsm,888000.0,sb,pr,home,1U,6420.0,CRIF,539,CIB,not_inst,59.29054054,south,direct,45.0,0.04065827652812004
ncf,nopre,type1,p4,l1,nopc,nob/c,906500,360.0,not_neg,not_int,not_lpsm,1158000.0,sb,pr,home,1U,13920.0,EXP,896,EXP,to_inst,78.28151986,North,direct,37.0,0.27710843086242676
cf,nopre,type1,p4,l1,nopc,nob/c,346500,360.0,not_neg,not_int,not_lpsm,578000.0,sb,pr,home,1U,4260.0,EXP,834,CIB,not_inst,59.94809689,North,direct,47.0,0.04065827652812004
cf,pre,type1,p1,l1,nopc,nob/c,306500,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,9240.0,CRIF,632,CIB,to_inst,96.3836478,North,direct,43.0,0.05779334530234337
cf,nopre,type2,p3,l1,nopc,b/c,86500,180.0,not_neg,not_int,not_lpsm,88000.0,sb,pr,home,1U,4500.0,CIB,792,CIB,to_inst,98.29545455,central,direct,25.0,0.7596899271011353
cf,nopre,type1,p4,l1,nopc,nob/c,206500,324.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,4440.0,EXP,509,CIB,to_inst,69.29530201,south,direct,36.0,0.06420404464006424
cf,nopre,type1,p4,l1,nopc,nob/c,546500,360.0,not_neg,not_int,not_lpsm,728000.0,sb,pr,home,1U,6660.0,CRIF,866,EXP,not_inst,75.06868132,south,direct,41.0,0.03455149382352829
ncf,nopre,type1,p3,l2,opc,nob/c,506500,360.0,neg_amm,int_only,not_lpsm,1608000.0,sb,pr,home,1U,11460.0,CIB,757,EXP,to_inst,31.49875622,North,direct,47.0,0.4184100329875946
cf,nopre,type1,p3,l1,nopc,nob/c,176500,180.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,3360.0,CRIF,770,CIB,to_inst,57.30519481,North,direct,44.0,0.0861159935593605
cf,nopre,type1,p3,l1,nopc,nob/c,486500,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,9420.0,CIB,656,CIB,to_inst,68.71468927,south,direct,46.0,0.11089865863323212
cf,nopre,type2,p2,l1,nopc,b/c,36500,360.0,not_neg,not_int,not_lpsm,68000.0,sb,pr,home,1U,1260.0,CRIF,742,CIB,to_inst,53.67647059,south,direct,31.0,0.3415384590625763
cf,nopre,type1,p1,l1,nopc,nob/c,356500,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,9300.0,CRIF,676,CIB,not_inst,74.58158996,south,direct,22.0,0.02772643230855465
cf,nopre,type1,p4,l1,nopc,nob/c,356500,240.0,not_neg,not_int,not_lpsm,648000.0,sb,pr,home,1U,4860.0,CIB,900,CIB,not_inst,55.0154321,North,direct,46.0,0.03455149382352829
cf,nopre,type1,p1,l1,nopc,nob/c,426500,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,9420.0,CRIF,792,CIB,not_inst,93.12227074,North,direct,31.0,0.03455149382352829
cf,nopre,type3,p3,l1,nopc,nob/c,266500,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,2220.0,CIB,851,CIB,to_inst,86.52597403,North,direct,44.0,0.14369073510169983
cf,nopre,type1,p4,l1,nopc,nob/c,336500,360.0,not_neg,not_int,not_lpsm,788000.0,sb,pr,home,1U,4740.0,EXP,635,CIB,not_inst,42.70304569,North,direct,38.0,0.03455149382352829
cf,nopre,type1,p4,l2,nopc,nob/c,446500,300.0,neg_amm,not_int,not_lpsm,538000.0,sb,pr,home,2U,8460.0,CRIF,794,CIB,not_inst,82.99256506,North,direct,42.0,0.9869565367698669
cf,nopre,type1,p3,l1,nopc,nob/c,366500,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,14160.0,CIB,582,EXP,to_inst,60.27960526,south,direct,19.0,0.05779334530234337
cf,nopre,type1,p4,l1,nopc,nob/c,596500,360.0,neg_amm,int_only,not_lpsm,808000.0,sb,pr,home,1U,8460.0,CIB,689,CIB,not_inst,73.82425743,south,direct,34.0,0.02139037474989891
cf,nopre,type1,p4,l1,nopc,nob/c,356500,360.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,4800.0,CRIF,703,CIB,not_inst,79.57589286,North,direct,42.0,0.03455149382352829
