ID,year,loan_limit,Gender,approv_in_adv,loan_type,loan_purpose,Credit_Worthiness,open_credit,business_or_commercial,loan_amount,rate_of_interest,Interest_rate_spread,Upfront_charges,term,Neg_ammortization,interest_only,lump_sum_payment,property_value,construction_type,occupancy_type,Secured_by,total_units,income,credit_type,Credit_Score,co-applicant_credit_type,age,submission_of_application,LTV,Region,Security_Type,Status,dtir1
62107,2019,cf,Joint,nopre,type2,p3,l1,nopc,b/c,286500,3.25,0.2388,0.0,360.0,not_neg,not_int,not_lpsm,358000.0,sb,pr,home,1U,6180.0,EXP,633,EXP,45-54,not_inst,80.02793296,central,direct,0,42.0
119303,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,376500,3.625,0.0444,0.0,360.0,not_neg,int_only,not_lpsm,448000.0,sb,pr,home,1U,7080.0,EXP,657,EXP,55-64,not_inst,84.04017857,North,direct,0,29.0
34023,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,586500,3.875,0.1464,3486.7,360.0,not_neg,not_int,not_lpsm,908000.0,sb,pr,home,1U,7860.0,EXP,514,EXP,55-64,not_inst,64.59251101,North,direct,0,45.0
93742,2019,cf,Female,nopre,type3,p3,l1,nopc,nob/c,426500,3.5,-0.0067,4452.38,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,9960.0,CIB,758,EXP,35-44,to_inst,99.64953271,North,direct,0,42.0
105443,2019,cf,Joint,nopre,type1,p2,l1,nopc,nob/c,276500,4.375,0.1825,5875.0,360.0,not_neg,not_int,not_lpsm,428000.0,sb,pr,home,1U,3360.0,EXP,886,EXP,65-74,to_inst,64.60280374,North,direct,0,49.0
158332,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,236500,4.5,1.0018,1150.0,240.0,not_neg,not_int,not_lpsm,328000.0,sb,pr,home,1U,6420.0,EXP,719,EXP,35-44,to_inst,72.10365854,south,direct,0,41.0
63259,2019,cf,Sex Not Available,pre,type1,p2,l1,nopc,nob/c,206500,4.99,1.4437,3990.5,360.0,not_neg,not_int,not_lpsm,298000.0,sb,ir,home,2U,8340.0,CRIF,664,CIB,55-64,to_inst,69.29530201,south,direct,0,28.0
168765,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,286500,4.625,1.1359,4966.5,360.0,not_neg,not_int,not_lpsm,368000.0,sb,pr,home,1U,8160.0,EXP,759,EXP,35-44,to_inst,77.85326087,south,direct,0,47.0
166029,2019,cf,Female,pre,type1,p3,l1,nopc,nob/c,176500,3.5,-0.0611,6007.5,360.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,1740.0,CIB,601,CIB,65-74,to_inst,57.30519481,North,direct,0,43.0
88277,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,186500,3.99,0.0148,4114.46,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,4920.0,CIB,709,EXP,55-64,to_inst,64.75694444,south,direct,0,28.0
25757,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,266500,3.99,0.4623,1250.0,360.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,4320.0,EXP,826,CIB,65-74,to_inst,78.84615385,south,direct,0,36.0
160545,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,226500,3.625,-0.0468,1098.0,360.0,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1U,3840.0,EXP,502,CIB,55-64,not_inst,46.41393443,North,direct,0,36.0
32766,2019,ncf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,156500,3.875,0.8228,4203.13,180.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,4500.0,EXP,631,CIB,45-54,to_inst,52.51677852,south,direct,0,30.0
58555,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,306500,3.625,0.0456,756.85,360.0,not_neg,not_int,not_lpsm,688000.0,sb,pr,home,1U,4620.0,EXP,728,CIB,45-54,not_inst,44.5494186,North,direct,0,43.0
108031,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,346500,4.56,0.1584,0.0,360.0,not_neg,not_int,not_lpsm,468000.0,sb,ir,home,1U,5340.0,CIB,652,CIB,45-54,not_inst,74.03846154,south,direct,0,32.0
131391,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,326500,4.875,0.5587,0.0,360.0,not_neg,not_int,not_lpsm,598000.0,sb,ir,home,1U,5160.0,CRIF,735,EXP,55-64,not_inst,54.59866221,south,direct,0,49.0
144703,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,376500,4.56,0.6019,6920.0,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,4200.0,CRIF,644,CIB,55-64,to_inst,67.47311828,North,direct,0,49.0
36713,2019,ncf,Female,pre,type1,p1,l1,nopc,nob/c,636500,4.25,0.1699,6900.0,360.0,not_neg,not_int,not_lpsm,798000.0,sb,pr,home,1U,7260.0,CIB,796,CIB,25-34,not_inst,79.76190476,North,direct,0,48.0
98319,2019,cf,Joint,nopre,type2,p3,l1,nopc,b/c,56500,3.99,1.5892,1448.77,180.0,not_neg,not_int,not_lpsm,118000.0,sb,pr,home,1U,2940.0,EXP,654,EXP,65-74,to_inst,47.88135593,North,direct,0,44.0
136899,2019,cf,Sex Not Available,pre,type1,p1,l1,nopc,nob/c,466500,3.875,0.484,7685.0,360.0,not_neg,not_int,not_lpsm,528000.0,sb,pr,home,1U,5400.0,CIB,605,CIB,55-64,to_inst,88.35227273,central,direct,0,48.0
91434,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,466500,4.25,-0.1014,6385.93,360.0,not_neg,not_int,not_lpsm,808000.0,sb,pr,home,1U,8220.0,CRIF,599,CIB,>74,to_inst,57.73514851,south,direct,0,21.0
70260,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,236500,4.5,0.7547,650.0,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,4440.0,CIB,603,CIB,45-54,to_inst,79.36241611,south,direct,0,40.0
28682,2019,,Female,nopre,type1,p3,l1,nopc,nob/c,326500,3.99,0.4016,1250.0,360.0,not_neg,not_int,not_lpsm,488000.0,sb,pr,home,1U,7440.0,EXP,777,CIB,55-64,to_inst,66.9057377,North,direct,0,22.0
78289,2019,cf,Male,pre,type1,p1,l1,nopc,nob/c,226500,3.875,0.2477,0.0,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,5040.0,EXP,617,CIB,25-34,to_inst,95.16806723,North,direct,0,44.0
101099,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,466500,3.75,0.1839,11179.3,360.0,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,6840.0,CIB,698,CIB,55-64,to_inst,74.28343949,south,direct,0,37.0
96926,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,176500,3.625,0.8856,5054.25,180.0,not_neg,not_int,not_lpsm,268000.0,sb,pr,home,1U,3180.0,CRIF,755,CIB,55-64,to_inst,65.85820896,North,direct,0,41.0
29119,2019,cf,Male,nopre,type2,p4,l1,nopc,b/c,186500,,,,360.0,not_neg,not_int,not_lpsm,218000.0,sb,pr,home,1U,4740.0,CRIF,568,CIB,45-54,to_inst,85.55045872,North,direct,1,48.0
111260,2019,cf,Sex Not Available,pre,type1,p1,l2,nopc,nob/c,326500,3.99,0.4666,5101.72,360.0,not_neg,not_int,not_lpsm,338000.0,sb,pr,home,1U,5820.0,EXP,765,CIB,35-44,to_inst,96.59763314,south,direct,0,37.0
27863,2019,ncf,Sex Not Available,pre,type1,p4,l1,nopc,nob/c,286500,,,,360.0,not_neg,not_int,not_lpsm,608000.0,sb,pr,home,1U,10920.0,EXP,562,CIB,55-64,to_inst,47.12171053,south,direct,1,33.0
152947,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,336500,4.125,0.0497,1765.0,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,3540.0,EXP,716,CIB,45-54,not_inst,73.47161572,North,direct,0,52.0
126228,2019,cf,Sex Not Available,nopre,type1,p2,l1,nopc,nob/c,216500,3.99,0.4686,5450.0,360.0,not_neg,not_int,not_lpsm,388000.0,sb,ir,home,1U,4560.0,EXP,758,CIB,55-64,to_inst,55.79896907,south,direct,0,25.0
145297,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,206500,4.5,1.0827,4000.0,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,3960.0,EXP,654,CIB,55-64,to_inst,69.29530201,North,direct,0,33.0
162256,2019,cf,Sex Not Available,nopre,type1,p4,l1,nopc,nob/c,246500,3.125,0.1653,2790.0,180.0,not_neg,not_int,not_lpsm,308000.0,sb,pr,home,1U,10500.0,CRIF,541,EXP,35-44,to_inst,80.03246753,south,direct,0,45.0
124814,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,136500,4.75,0.368,2570.52,360.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1U,1860.0,CRIF,816,CIB,65-74,to_inst,65.625,North,direct,0,37.0
25376,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,226500,5.375,0.9403,3931.25,360.0,neg_amm,not_int,not_lpsm,318000.0,sb,pr,home,1U,2820.0,CIB,678,CIB,55-64,to_inst,71.22641509,south,direct,0,48.0
72945,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,236500,3.99,0.3732,4125.0,360.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,2460.0,CIB,704,EXP,65-74,to_inst,62.56613757,south,direct,0,44.0
125620,2019,cf,Male,pre,type1,p3,l1,nopc,nob/c,296500,3.99,0.4244,3749.74,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,3900.0,CIB,750,EXP,45-54,not_inst,53.13620072,North,direct,0,44.0
91703,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,246500,4.875,0.7473,,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,8400.0,CRIF,781,EXP,35-44,to_inst,82.71812081,south,direct,0,30.0
133283,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,266500,,,,360.0,neg_amm,not_int,not_lpsm,338000.0,sb,pr,home,1U,6000.0,CIB,566,EXP,55-64,to_inst,78.84615385,North,direct,1,49.0
78026,2019,cf,Joint,nopre,type1,p1,l2,nopc,nob/c,226500,4.25,0.2935,5500.0,360.0,not_neg,not_int,not_lpsm,328000.0,sb,sr,home,1U,9960.0,EXP,764,EXP,45-54,not_inst,69.05487805,North,direct,0,37.0
64656,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,486500,3.625,-0.1684,97.48,360.0,not_neg,int_only,not_lpsm,1258000.0,sb,pr,home,1U,5040.0,CRIF,666,EXP,>74,not_inst,38.67249603,North,direct,0,46.0
62098,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,306500,3.99,0.6389,5836.25,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,5760.0,CIB,805,EXP,55-64,to_inst,66.92139738,south,direct,0,31.0
85437,2019,ncf,Male,nopre,type1,p3,l1,nopc,nob/c,806500,,,,360.0,not_neg,not_int,not_lpsm,1158000.0,sb,pr,home,1U,16380.0,EXP,549,CIB,55-64,not_inst,69.64594128,North,direct,1,39.0
70962,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,726500,4.5,0.1297,0.0,360.0,not_neg,not_int,not_lpsm,2308000.0,sb,pr,home,1U,29760.0,CIB,778,EXP,45-54,not_inst,31.47746967,North,direct,0,30.0
26196,2019,cf,Female,pre,type1,p3,l1,nopc,nob/c,206500,,,,360.0,not_neg,not_int,not_lpsm,318000.0,sb,ir,home,1U,6000.0,CRIF,891,CIB,65-74,to_inst,64.93710692,North,direct,1,30.0
45532,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,426500,4.75,0.5069,3678.65,360.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,5100.0,CRIF,721,CIB,25-34,not_inst,95.20089286,North,direct,0,38.0
163375,2019,ncf,Female,nopre,type1,p4,l1,nopc,nob/c,186500,,,,360.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,2640.0,CRIF,775,CIB,>74,to_inst,72.28682171,North,direct,1,42.0
155937,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,116500,3.99,1.4149,3150.72,180.0,not_neg,not_int,not_lpsm,258000.0,sb,pr,home,1U,2340.0,CRIF,854,CIB,65-74,to_inst,45.15503876,North,direct,0,42.0
57289,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,106500,5.5,0.7602,0.0,360.0,not_neg,not_int,not_lpsm,238000.0,sb,pr,home,1U,2880.0,CRIF,540,CIB,35-44,not_inst,44.74789916,North,direct,0,30.0
37106,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,446500,4.0,0.2131,1481.22,360.0,not_neg,not_int,not_lpsm,478000.0,sb,pr,home,1U,10080.0,CRIF,539,CIB,25-34,not_inst,93.41004184,south,direct,0,42.0
113031,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,96500,3.5,1.4321,2039.6,180.0,neg_amm,not_int,not_lpsm,128000.0,sb,pr,home,1U,1980.0,CIB,500,CIB,55-64,to_inst,75.390625,North,direct,0,61.0
169628,2019,cf,Female,nopre,type2,p3,l1,nopc,b/c,116500,4.375,0.8548,1731.29,360.0,not_neg,not_int,not_lpsm,138000.0,sb,pr,home,1U,1680.0,CRIF,731,CIB,55-64,to_inst,84.42028986,North,direct,0,49.0
54852,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,396500,3.625,0.5169,1800.0,240.0,not_neg,not_int,not_lpsm,628000.0,sb,pr,home,1U,7440.0,EXP,691,EXP,35-44,not_inst,63.13694268,south,direct,0,38.0
27781,2019,ncf,Sex Not Available,nopre,type2,p3,l1,nopc,b/c,266500,4.5,1.0832,2567.0,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,2820.0,CIB,657,CIB,35-44,to_inst,83.80503145,south,direct,0,46.0
106436,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,336500,4.375,0.1758,0.0,348.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,6060.0,CRIF,626,CIB,25-34,not_inst,75.11160714,North,direct,0,39.0
35030,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,546500,4.5,0.2891,14683.05,360.0,neg_amm,not_int,not_lpsm,828000.0,sb,pr,home,1U,4500.0,CIB,513,EXP,55-64,not_inst,66.00241546,south,direct,0,49.0
138970,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,166500,3.99,0.3784,4700.63,360.0,not_neg,not_int,not_lpsm,438000.0,sb,pr,home,1U,2280.0,CRIF,895,EXP,55-64,to_inst,38.01369863,North,direct,0,44.0
43841,2019,cf,Female,nopre,type1,p4,l1,nopc,nob/c,406500,4.5,0.3548,0.0,360.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,6540.0,EXP,852,CIB,25-34,not_inst,90.73660714,North,direct,0,33.0
77707,2019,cf,Male,nopre,type1,p4,l1,nopc,nob/c,336500,,,,360.0,not_neg,int_only,not_lpsm,488000.0,sb,ir,home,1U,3300.0,CIB,691,CIB,65-74,not_inst,68.95491803,North,direct,1,42.0
31876,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,226500,4.75,0.5299,3110.0,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,3120.0,CIB,640,CIB,45-54,to_inst,78.64583333,south,direct,0,49.0
116416,2019,cf,Male,nopre,type1,p4,l2,nopc,nob/c,996500,,,,360.0,not_neg,not_int,not_lpsm,1678000.0,sb,pr,home,4U,7740.0,CRIF,895,CIB,45-54,not_inst,59.38617402,North,direct,1,59.0
70808,2019,cf,Female,nopre,type2,p1,l1,nopc,b/c,276500,2.99,0.3007,0.0,360.0,not_neg,not_int,not_lpsm,278000.0,sb,pr,home,1U,5700.0,CRIF,863,EXP,25-34,not_inst,99.46043165,North,direct,0,37.0
138663,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,726500,,,,360.0,not_neg,not_int,not_lpsm,908000.0,sb,pr,home,1U,8040.0,CIB,825,CIB,35-44,not_inst,80.01101322,North,direct,1,47.0
130132,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,406500,3.99,0.2756,0.0,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,4320.0,CIB,770,CIB,25-34,not_inst,88.75545852,North,direct,0,38.0
104394,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,476500,3.875,0.4232,8330.0,360.0,not_neg,not_int,not_lpsm,898000.0,sb,pr,home,1U,12540.0,CIB,754,EXP,45-54,to_inst,53.0623608,south,direct,0,31.0
44023,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,196500,,,,360.0,not_neg,not_int,not_lpsm,778000.0,sb,pr,home,1U,2400.0,EXP,700,CIB,55-64,to_inst,25.25706941,south,direct,1,47.0
56843,2019,cf,Joint,pre,type1,p3,l1,nopc,nob/c,346500,4.5,0.9359,6831.88,360.0,not_neg,not_int,not_lpsm,558000.0,sb,pr,home,1U,3360.0,CIB,798,EXP,>74,to_inst,62.09677419,North,direct,0,57.0
62209,2019,cf,Male,nopre,type2,p3,l1,nopc,b/c,156500,3.99,0.9618,1557.27,360.0,not_neg,int_only,not_lpsm,188000.0,sb,pr,home,1U,6060.0,CIB,634,CIB,45-54,to_inst,83.24468085,North,direct,0,37.0
68622,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,426500,3.75,-0.0128,0.0,360.0,not_neg,not_int,not_lpsm,768000.0,sb,pr,home,1U,8760.0,CRIF,845,EXP,55-64,not_inst,55.53385417,central,direct,0,48.0
163058,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,296500,3.0,-0.0837,1172.25,180.0,not_neg,not_int,not_lpsm,858000.0,sb,pr,home,1U,6300.0,CIB,846,EXP,35-44,not_inst,34.55710956,south,direct,0,37.0
166400,2019,cf,Male,nopre,type1,p1,l1,nopc,nob/c,486500,4.375,0.1401,0.0,360.0,not_neg,int_only,not_lpsm,998000.0,sb,pr,home,1U,5760.0,CRIF,899,CIB,25-34,not_inst,48.74749499,south,direct,0,47.0
171324,2019,,Sex Not Available,nopre,type3,p3,l1,nopc,nob/c,456500,3.625,0.2228,4375.55,360.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,7020.0,CIB,608,EXP,45-54,to_inst,97.54273504,south,direct,0,49.0
26313,2019,cf,Joint,nopre,type1,p1,l1,nopc,nob/c,406500,3.625,-0.0772,0.0,360.0,not_neg,not_int,not_lpsm,458000.0,sb,pr,home,1U,3720.0,CRIF,678,EXP,25-34,not_inst,88.75545852,south,direct,0,49.0
42944,2019,cf,Joint,pre,type3,p3,l1,nopc,nob/c,266500,3.375,-0.1428,7650.38,360.0,not_neg,not_int,not_lpsm,378000.0,sb,pr,home,1U,9180.0,CIB,881,EXP,65-74,to_inst,70.5026455,North,direct,0,23.0
155760,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,156500,4.5,0.9577,4628.75,360.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1U,3780.0,EXP,722,CIB,55-64,to_inst,75.24038462,North,direct,0,32.0
167115,2019,ncf,Sex Not Available,pre,type1,p4,l1,nopc,nob/c,206500,3.99,0.3379,4325.01,360.0,not_neg,not_int,not_lpsm,408000.0,sb,pr,home,1U,2820.0,CRIF,626,CIB,45-54,to_inst,50.6127451,south,direct,0,44.0
32199,2019,ncf,Male,nopre,type1,p3,l1,nopc,nob/c,696500,4.375,0.6323,2988.7,360.0,not_neg,not_int,not_lpsm,1458000.0,sb,pr,home,1U,38400.0,EXP,695,CIB,35-44,to_inst,47.77091907,North,direct,0,13.0
145740,2019,cf,Joint,pre,type1,p4,l1,nopc,nob/c,256500,,,,360.0,not_neg,not_int,not_lpsm,448000.0,sb,pr,home,1U,2760.0,CRIF,800,EXP,35-44,to_inst,57.25446429,central,direct,1,46.0
160342,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,406500,3.5,-0.0267,493.0,360.0,not_neg,not_int,not_lpsm,818000.0,sb,pr,home,1U,4860.0,EXP,784,CIB,55-64,not_inst,49.69437653,North,direct,0,46.0
97085,2019,cf,Male,nopre,type2,p1,l1,nopc,b/c,306500,3.0,0.2432,0.0,360.0,not_neg,not_int,not_lpsm,318000.0,sb,pr,home,1U,2700.0,EXP,771,CIB,25-34,not_inst,96.3836478,south,direct,0,58.0
136703,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,206500,4.125,0.151,4012.38,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,3060.0,CIB,645,EXP,55-64,to_inst,71.70138889,south,direct,0,43.0
84507,2019,cf,Joint,pre,type2,p4,l1,nopc,b/c,316500,,,,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,7740.0,CRIF,578,EXP,25-34,to_inst,90.94827586,south,direct,1,36.0
87232,2019,ncf,Joint,nopre,type2,p3,l1,nopc,b/c,566500,4.25,0.886,6101.62,360.0,not_neg,not_int,not_lpsm,708000.0,sb,pr,home,1U,12360.0,CRIF,564,EXP,55-64,not_inst,80.01412429,North,direct,0,52.0
156763,2019,cf,Sex Not Available,nopre,type1,p3,l1,nopc,nob/c,226500,4.625,1.056,6530.0,360.0,not_neg,not_int,not_lpsm,348000.0,sb,pr,home,1U,3720.0,EXP,778,CIB,45-54,to_inst,65.0862069,south,direct,0,38.0
123206,2019,cf,Male,nopre,type1,p3,l1,nopc,nob/c,156500,3.99,0.598,2795.0,300.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,3420.0,CIB,790,EXP,35-44,to_inst,52.51677852,North,direct,0,29.0
64469,2019,cf,Joint,pre,type1,p1,l1,nopc,nob/c,196500,3.875,0.1261,1775.0,360.0,not_neg,not_int,not_lpsm,288000.0,sb,pr,home,1U,24540.0,EXP,549,EXP,45-54,to_inst,68.22916667,North,direct,0,31.0
28753,2019,cf,Joint,nopre,type1,p3,l1,nopc,nob/c,586500,,,,360.0,not_neg,not_int,lpsm,728000.0,sb,pr,home,1U,12180.0,CRIF,606,EXP,25-34,not_inst,80.56318681,south,direct,1,40.0
118546,2019,cf,Female,nopre,type1,p2,l1,nopc,nob/c,76500,4.625,1.4256,2937.5,360.0,not_neg,not_int,not_lpsm,128000.0,sb,pr,home,1U,1020.0,EXP,571,CIB,55-64,to_inst,59.765625,North,direct,0,30.0
33625,2019,cf,Female,nopre,type1,p3,l1,nopc,nob/c,146500,4.25,0.7745,3352.5,360.0,not_neg,not_int,not_lpsm,208000.0,sb,pr,home,1U,1680.0,EXP,892,CIB,>74,to_inst,70.43269231,south,direct,0,39.0
107488,2019,cf,Sex Not Available,nopre,type1,p1,l1,nopc,nob/c,266500,3.375,-0.1175,896.19,360.0,not_neg,not_int,not_lpsm,298000.0,sb,pr,home,1U,2160.0,EXP,631,CIB,35-44,to_inst,89.4295302,south,direct,0,50.0
92319,2019,ncf,Male,nopre,type1,p3,l1,nopc,nob/c,736500,3.75,-0.3691,13942.5,360.0,neg_amm,not_int,not_lpsm,1358000.0,sb,pr,home,1U,9540.0,CIB,616,CIB,45-54,to_inst,54.23416789,North,direct,0,39.0
75075,2019,cf,Joint,nopre,type1,p4,l1,nopc,nob/c,516500,3.5,-0.1165,6380.01,360.0,not_neg,not_int,not_lpsm,1458000.0,sb,pr,home,1U,8880.0,CRIF,584,EXP,55-64,not_inst,35.42524005,central,direct,0,36.0
169734,2019,cf,Sex Not Available,pre,type1,p3,l1,nopc,nob/c,266500,2.875,-0.1263,4231.25,180.0,not_neg,not_int,not_lpsm,468000.0,sb,pr,home,1U,8220.0,EXP,858,CIB,55-64,to_inst,56.94444444,south,direct,0,30.0
167175,2019,cf,Female,nopre,type1,p2,l1,nopc,nob/c,86500,4.5,1.3635,3074.46,360.0,not_neg,not_int,not_lpsm,228000.0,sb,pr,home,1U,2400.0,CRIF,659,CIB,55-64,to_inst,37.93859649,North,direct,0,27.0
82574,2019,cf,Female,nopre,type1,p1,l1,nopc,nob/c,236500,4.375,0.5294,0.0,360.0,not_neg,not_int,not_lpsm,248000.0,sb,pr,home,1U,3780.0,EXP,639,CIB,25-34,not_inst,95.36290323,North,direct,0,41.0
151376,2019,cf,Female,pre,type1,p3,l1,nopc,nob/c,156500,5.75,1.4947,1726.0,360.0,not_neg,not_int,not_lpsm,198000.0,sb,pr,home,1U,4560.0,EXP,575,CIB,55-64,to_inst,79.04040404,south,direct,0,36.0
